Directional Gain Comparison (Task A vs Task B)
Idx | θ φ | GainA | GainB | Δ(B-A)
106 |  93.3 114.0 | -57.75 | -27.58 |  30.17
107 | 111.8  79.0 | -25.05 |  -2.98 |  22.07
108 | 110.1 104.0 | -116.68 |  -2.08 | 114.60
109 |  87.2  65.8 | -79.50 |  -8.49 |  71.01
110 |  69.6  76.3 | -117.08 |  -0.80 | 116.28
111 |  72.1  72.9 | -120.06 |  -3.20 | 116.85
112 | 107.7 107.4 | -92.49 |  -7.49 |  85.01
113 | 114.7  89.7 | -78.77 | -13.79 |  64.98
114 | 112.5 100.5 | -60.40 | -13.32 |  47.07
115 |  83.6 114.0 | -102.94 |  -4.33 |  98.61
116 | 103.9  69.1 | -32.88 |  -3.98 |  28.91
117 |  76.1 110.9 | -99.83 |  -3.05 |  96.79
118 |  67.2  79.7 | -126.50 |  -6.05 | 120.45
119 |  98.1 113.9 | -54.83 |  -8.45 |  46.38
120 |  65.7  96.8 | -100.81 |  -4.43 |  96.38
121 |  67.5 101.6 | -43.92 |  -7.91 |  36.01
122 |  74.6  69.7 | -112.97 |  -0.28 | 112.69
123 | 114.3  82.5 | -109.96 |  -7.35 | 102.61
124 | 105.2 110.7 | -98.07 |  -2.40 |  95.66
125 | 114.7  96.9 | -94.99 | -19.89 |  75.10
126 |  64.1  91.8 | -124.61 | -11.48 | 113.13
127 |  64.9  83.3 | -78.47 |  -1.43 |  77.03
128 |  97.3  65.0 | -130.43 |  -5.19 | 125.24
129 |  69.5 106.3 | -135.01 |  -4.14 | 130.86
130 |  83.4  64.7 | -97.94 | -11.54 |  86.40
131 |  78.9 114.0 | -126.46 |  -6.23 | 120.23
132 |  93.4  63.9 | -114.66 |   3.03 | 117.69
133 | 101.3  66.0 | -110.45 |   2.05 | 112.50
134 |  77.2  66.6 | -114.71 |  -6.00 | 108.71
135 | 102.7 113.8 | -78.71 |  -5.20 |  73.51
136 | 116.6  86.1 | -58.25 |  -3.73 |  54.53
137 |  91.0 116.9 | -116.12 |   0.72 | 116.85
138 | 116.8  93.3 | -64.32 |  -4.60 |  59.73
139 |  89.6  62.9 | -115.77 |   4.20 | 119.97
140 |  86.3 116.9 | -89.56 |  -7.11 |  82.45
141 | 111.0  72.3 | -130.44 |  -3.02 | 127.42
142 |  71.6 110.7 | -141.29 |  -6.23 | 135.06
143 | 113.5  75.6 | -119.37 |  -4.76 | 114.60
144 |  95.7 116.9 | -65.44 |   4.42 |  69.87
145 |  62.7  86.9 | -105.18 |  -8.77 |  96.41
146 | 108.4  69.1 | -122.17 |  -4.06 | 118.11
147 | 112.0 107.3 | -100.11 |  -4.46 |  95.65
148 |  68.6  71.8 | -113.29 | -17.91 |  95.38
149 | 114.4 103.9 | -119.66 |  -0.40 | 119.26
150 |  66.1  75.1 | -46.07 | -14.49 |  31.58
151 |  63.9 100.3 | -111.36 |   1.16 | 112.53
152 |  81.6 116.9 | -54.28 |  -2.97 |  51.31
153 | 116.0  79.0 | -111.70 |   0.75 | 112.44
154 |  79.7  63.7 | -98.58 |  -3.06 |  95.52
155 | 109.6 110.6 | -95.65 |  -1.46 |  94.19
156 |  65.8 105.0 | -114.48 |   0.79 | 115.27
157 |  71.1  68.6 | -123.47 |  -6.28 | 117.19
158 |  62.2  95.4 | -106.66 |  -2.22 | 104.44
159 | 105.7  66.1 | -82.13 |  -1.63 |  80.50
160 |  74.3 113.9 | -78.93 |  -0.94 |  77.99
161 |  85.8  61.9 | -103.72 |  -6.53 |  97.20
162 | 116.6 100.4 | -132.45 |  -0.24 | 132.21
163 |  63.8  78.5 | -115.76 |  -0.35 | 115.42
164 | 100.3 116.8 | -56.14 |   3.88 |  60.02
165 | 118.7  89.6 | -85.05 |  -4.89 |  80.16
166 | 107.2 113.7 | -131.29 |  -0.31 | 130.98
167 |  73.6  65.6 | -124.66 |  -0.06 | 124.61
168 |  99.3  62.2 | -121.79 |  -3.61 | 118.18
169 | 118.3  82.5 | -123.45 |  -0.02 | 123.42
170 |  67.8 109.6 | -105.20 |   1.63 | 106.83
171 |  60.7  90.4 | -96.39 |  -0.11 |  96.28
172 |  95.5  61.2 | -126.74 | -11.99 | 114.75
173 |  61.6  82.0 | -131.58 |   1.56 | 133.14
174 | 118.7  96.8 | -21.88 |  -3.47 |  18.41
175 |  77.1 116.8 | -118.22 |  -1.32 | 116.90
176 | 103.1  63.1 | -120.25 |   3.21 | 123.47
177 |  93.4 119.6 | -125.58 |  -4.34 | 121.24
178 |  91.8  60.2 | -120.55 |  -1.79 | 118.75
179 |  82.1  60.9 | -117.84 |  -0.47 | 117.36
180 | 104.7 116.7 | -51.74 |  -4.67 |  47.07
181 |  76.2  62.7 | -64.05 |  -8.45 |  55.60
182 | 112.6  69.1 | -75.87 |  -8.25 |  67.62
183 | 115.1  72.3 | -62.24 | -11.07 |  51.17
184 |  97.9 119.6 | -113.57 |  -3.14 | 110.43
185 |  70.0 113.7 | -68.25 |  -0.71 |  67.54
186 | 120.5  86.0 | -140.03 | -16.40 | 123.63
187 | 110.0  66.1 | -112.25 |  -0.83 | 111.42
188 |  59.5  85.5 | -120.40 | -10.46 | 109.94
189 | 120.7  93.2 | -128.47 |  -0.85 | 127.61
190 |  88.1  59.2 | -133.05 |   0.62 | 133.68
191 | 117.5  75.5 | -119.97 |  -8.88 | 111.09
192 | 116.1 107.2 | -64.79 |  -8.15 |  56.64
193 |  65.3  70.6 | -110.55 |  -9.56 | 100.99
194 | 113.8 110.5 | -86.36 |  -3.33 |  83.03
195 |  63.0  73.9 | -67.62 |  -1.96 |  65.65
196 |  67.8  67.5 | -108.14 |  -7.80 | 100.34
197 |  64.2 108.3 | -70.31 |  -5.20 |  65.11
198 | 118.3 103.8 | -121.03 |  -5.17 | 115.85
199 |  58.9  94.0 | -119.95 | -20.60 |  99.36
200 | 111.4 113.6 | -116.51 |  -4.74 | 111.77
201 | 107.4  63.2 | -71.57 |  -0.97 |  70.60
202 |  72.7 116.8 | -113.27 |   6.90 | 120.17
203 | 119.9  78.9 | -111.97 |  -2.37 | 109.60
204 |  60.7  77.2 | -70.64 |  -8.33 |  62.31
205 | 102.3 119.5 | -121.88 |  -5.30 | 116.57
206 |  70.3  64.6 | -118.24 |   1.37 | 119.61
207 |  78.6  60.0 | -91.70 |  -2.43 |  89.27
208 | 120.5 100.3 | -110.38 |  -4.63 | 105.76
209 |  84.5  58.3 | -104.56 |  -2.06 | 102.50
210 |  97.5  58.6 | -114.24 | -11.02 | 103.22
211 | 109.0 116.6 | -120.00 | -11.74 | 108.26
212 | 101.1  59.5 | -113.21 | -13.49 |  99.72
213 |  66.3 112.6 | -104.89 |  -2.15 | 102.74
214 |  57.6  89.1 | -122.82 |  -3.44 | 119.38
215 | 122.4  89.5 | -114.40 |   1.45 | 115.85
216 |  93.9  57.6 | -97.95 |  -6.97 |  90.97
217 |  58.5  80.7 | -142.27 |  -2.08 | 140.18
218 |  75.4 119.6 | -81.13 |   0.10 |  81.23
219 |  72.8  61.7 | -82.25 |  -7.41 |  74.84
220 | 122.0  82.4 | -71.14 |  -9.33 |  61.80
221 | 122.4  96.7 | -136.54 |  -1.23 | 135.31
222 | 114.0  66.1 | -116.19 |  -4.46 | 111.73
223 | 106.5 119.4 | -117.98 |  -3.03 | 114.95
224 |  81.0  57.4 | -109.32 |  -9.02 | 100.30
225 |  68.5 116.6 | -123.74 |  -1.49 | 122.25
226 | 111.4  63.2 | -121.22 |  -3.91 | 117.31
227 | 117.6 110.3 | -80.93 |   0.01 |  80.93
228 |  56.6  84.2 | -98.51 | -11.86 |  86.65
229 |  75.3  59.1 | -118.49 |   2.89 | 121.38
230 |  62.3  69.5 | -112.03 |  -6.40 | 105.63
231 |  64.7  66.5 | -98.73 |  -6.10 |  92.63
232 | 115.3 113.5 | -128.79 |   0.08 | 128.87
233 | 119.9 107.1 | -147.02 |  -3.53 | 143.49
234 |  60.0  72.7 | -117.10 |  -7.84 | 109.26
235 | 124.0  85.9 | -134.02 |  -0.09 | 133.94
236 |  86.8  55.9 | -127.35 |  -8.94 | 118.41
237 | 124.2  93.1 | -121.04 |  -7.25 | 113.78
238 |  67.2  63.6 | -124.51 |  -3.25 | 121.25
239 | 112.9 116.5 | -111.22 | -18.08 |  93.14
240 | 122.0 103.7 | -122.38 |  -0.92 | 121.46
241 |  71.2 119.5 | -91.80 |  -0.93 |  90.87
242 |  57.8  76.0 | -117.40 |   0.08 | 117.47
243 | 123.4  78.9 | -100.97 | -11.19 |  89.78
244 |  69.7  60.8 | -124.12 | -17.96 | 106.15
245 |  77.7  56.6 | -105.82 | -14.18 |  91.64
246 |  83.4  55.1 | -104.91 |  -6.91 |  98.00
247 |  55.8  79.4 | -102.38 |  -1.16 | 101.23
248 | 125.8  89.4 | -126.36 |  -4.32 | 122.04
249 | 125.4  82.3 | -113.50 |  -1.61 | 111.88
250 |  80.1  54.3 | -117.91 | -13.44 | 104.48
251 |  74.6  55.8 | -112.04 |  -0.23 | 111.81
252 | 127.2  85.8 | -125.55 |  -0.13 | 125.42
253 | 127.4  92.9 | -122.11 |  -6.77 | 115.34
254 |  77.0  53.5 | -116.14 |   0.72 | 116.86
255 | 128.9  89.3 | -119.09 |  -1.37 | 117.72
